A61K47,A61P31,C07D417,A61P9,A61B5,A61M31,C12Q1,A61P35,C12N15,A61K38,C12P21,A61F2,G01N33,C07D413,A61P25,A61K39,A61P37,C12N5,C07D487,A61M5,A61K35,C07D403,A61B17,C07K14,A61K9,A61K45,C07K16,C07D471,A61K31,C07D401,abstract,ID
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,The present invention relates to a system for increasing the temperature of a fluid being infused into a patient's body while the infusion is taking place. The present invention also provides for improved monitoring of air in the infusion system such to prevent the introduction of air into the patient's body receiving the fluid infusion. The present invention also provides for a system pump which provides a variable flow rate that serves a vast amount of infusion needs and purposes. A disposable cartridge in accordance with the present invention will allow for the efficient transfer of heat energy to the fluid being infused into the patient's body. The cartridge will further ensure that deleterious amounts of air will not be introduced into the patient's body.,US20090245765A1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Described are spiropyrrolidines (I) useful as inhibitors of MDM2/p53 interactions and provides useful agents for the treatment of diseases like cancer and retinal macular degeneration diseases. The invented compounds herein have the general
Further described are pharmaceutical compositions that comprise one or more compounds of the invention, a pharmaceutically acceptable salt or pro-drug and/or a pharmaceutically acceptable carrier or excipient.",US20150322076A1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"The present disclosure provides fusion polypeptides comprising GLP-1 and GDF15, the polypeptide complexes, and the conjugates thereof. Pharmaceutical compositions comprising the same and methods of treating diseases are also provided.",US20220017589A1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Disclosed are a class of fused cyclic compounds against the HCMV virus, and use thereof in the preparation of a drugs for treating diseases associated with the HCMV virus. In particular, disclosed is the compound shown in formula (II) and pharmaceutically acceptable salts thereof.",US20190202838A1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Epidermal growth factor receptor (EGFR) inhibitors are provided. In particular, 4-substituted-2-(N-(5-substituted allyl amide)phenyl)amino)pyrimidine derivatives of formula (I), a preparation method and use thereof as an EGFR inhibitor are provided. The 4-substituted-2-(N-(5-substituted allyl amide)phenyl)amino)pyrimidine derivatives of formula (I) have inhibitory activity against the L858R EGFR mutant, the T790M EGFR mutant and the exon 19 deletion activating mutant, and can be used to treat diseases mediated alone or in part by EGFR mutant activity. The derivatives of formula (I) can be used to treat and/or prevent cancers, particularly non-small cell lung cancer.
",US20170313714A1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"An orifice-free drug delivery device is provided. In an embodiment, the device includes a body having at least one water-permeable wall bounding a reservoir defined within the body. A drug formulation is disposed within the reservoir. The body has an elastic portion and at least one restraining plug closing off an opening of the body. The opening is in fluid communication with the reservoir, and the restraining plug contacts the elastic portion of the body and controls release of the drug from the device by the transient formation of one or more microchannels between the elastic portion of the body and the at least one restraining plug. The elastic portion may define an opening having an inner diameter, which is exceeded by the outer diameter of the restraining plug by at least 3%.",US10517816B2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"The present invention relates to compositions and uses of novel high penetration compositions or high penetration prodrugs (HPP), in particular HPPs for 4-aminophenol derivatives, which are capable of crossing biological barriers with high penetration efficiency. The HPPs herein are capable of being converted to parent active drugs or drug metabolites after crossing the biological barrier and thus can render treatments for the conditions that the parent drugs or metabolites can. Additionally, due to the ability of penetrating biological barriers, the HPPs herein are capable of reaching areas that parent drugs may not be able to access or to render a sufficient concentration at the target areas and therefore render novel treatments. The HPPs herein can be administered to a subject through various administration routes. For example, the HPPs can be locally delivered to an action site of a condition with a high concentration due to their ability of penetrating biological barriers and thus obviate the need for a systematic administration. For another example, the HPPs herein can be systematically administer to a biological subject and enter the general circulation with a faster rate.",US11135153B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Processes for the synthesis of the Factor Xa anticoagulent Fondaparinux, and related compounds are described. Also described are protected pentasaccharide intermediates as well as efficient and scalable processes for the industrial scale production of Fondaparinux sodium by conversion of the protected pentasaccharide intermediates via a sequence of deprotection and sulfonation reactions.",US9255119B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"The present disclosure relates to lipid compounds of formula (I):
wherein:R1 is chosen from a C10-C21 alkyl, a C10-C21 alkenyl having 1-6 double bonds, and a C10-C21 alkynyl having 1-6 triple bonds;R2 and R3 are the same or different and are chosen from hydrogen and a C1-C6 alkyl;X is chosen from O, S, SO, SO2, Si, and Se;n=1 or 3; andP1 is chosen from hydrogen; a C10-C21 alkyl, a C10-C21 alkenyl having 1-6 double bonds, a C10-C21 alkynyl having 1-6 triple bonds, optionally substituted; a group of formula (II) or formula (III), wherein P2, P3, and P4 are chosen from hydrogen, an alkyl, an alkenyl, and an alkynyl, optionally substituted; and a group of formula (IV) or formula (V), wherein P5 is chosen from hydrogen and a C1-C6 alkyl;or a pharmaceutically acceptable salt, complex, or solvate thereof. Also disclosed are pharmaceutical compositions and lipid compositions comprising such compounds, and methods of use thereof, for example in the treatment of diseases related to cardiovascular, metabolic, and inflammatory conditions.",US20100280109A1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"The present invention relates to a method for inducing the differentiation of neural progenitors, neurons, and dopaminergic neurons from human embryonic stem cells with high efficiency, in which neural selection can be performed by the selected media and physical methods. The invention has advantages such as higher efficiency, the effect of lowering cost and time, and maintenance of neural progenitors for a longer period of time, as compared to the known methods for inducing the differentiation into neural progenitors, neurons, and dopaminergic neurons. Accordingly, the method can stably generate cells used for treating Parkinson's disease or other nervous system diseases.",US8492149B2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The present invention relates to polyethylene glycol (PEG) modified protein drugs, and a PEGylated tissue kallikrein, a preparation method and use thereof are disclosed. The tissue kallikrein has a sequence as shown in SEQ ID No. 1 or SEQ ID No. 2, and the tissue kallikrein may be natural or recombinant. The PEG has a molecular weight of 20 to 40 kDa, and is conjugated to the N-terminal primary amino of the tissue kallikrein. In addition to the advantages of significantly extended half-life, significantly reduced immunogenicity and stable and uniform structure, the biological activity of the PEGylated KLK1 provided in the present invention is improved to a higher extent, which is more significant in the treatment of cerebral apoplexy and diabetic nephropathy in particular.",US10052368B2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"The present invention relates to 2-oxo-1-imidazolidinyl imidazothiadiazole derivatives, processes for preparing them, pharmaceutical compositions containing them and their use as pharmaceuticals.
",US8957218B2
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"The invention provides the design, preparation methods and applications of the variant of annexin V. The variant of annexin V is the protein with amino acid residue sequence in sequence 1 in the SEQUENCE LISTING, characterized in that it is the protein derived from sequence 1 by one or several amino acid residues of the sequence 1 being substituted, missing or being added and its amino acid residues have the same activity with the sequence of the sequence 1. The variant protein of the annexin V prepared form the preparation methods of the variant of the annexin V has high purity, high productivity, high labeling efficiency and stability, without effect to the biological function of the variant of the annexin V, which is applicable to industrial production and allows for further research of the variant of the annexin V.",US8975380B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"This invention relates to a prodrug of the monophosphate nucleotide of the well-known oncology drug gemcitabine. Specifically, it relates to gemcitabine-[phenyl-benzoxy-L-alaninyl)]-phosphate when present as a single phosphate diastereoisomer and, in particular, it relates to the (S)-phosphate diastereoisomer which offers a remarkable and unexpected increase in solubility relative to the (R)-diastereoisomer. The (S)-phosphate epimer is also preferentially taken up into cyclodextrin solutions over the (R)-diastereoisomer.",US10662213B2
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Compositions and methods relating to antibodies that specifically bind to TGF-beta binding proteins are provided. These methods and compositions relate to altering bone mineral density by interfering with the interaction between a TGF-beta binding protein sclerostin and a TGF-beta superfamily member, particularly a bone morphogenic protein. Increasing bone mineral density has uses in diseases and conditions in which low bone mineral density typifies the condition, such as osteopenia, osteoporosis, and bone fractures.",US20200231664A1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"The present invention belongs to the field of tumor therapy and molecular immunology, and relates to a PDL-1 antibody, a pharmaceutical composition thereof and use thereof. In particular, the present invention relates to a PDL-1 monoclonal antibody or an antigen-binding fragment thereof, wherein the monoclonal antibody has a heavy chain variable region comprising CDRs as set forth in SEQ ID NOs: 15-17; and/or has a light chain variable region comprising CDRs as set forth in SEQ ID NOs: 18-20. The monoclonal antibody of the present invention can bind to PDL-1 specifically, and specifically remove immunosuppressive function of PDL-1 and activate T lymphocytes.",US20180305464A1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"This invention provides binding proteins, including antibodies, antibody derivatives and antibody fragments, that specifically bind a CD154 (CD40L) protein. This invention also provides a chimeric, humanized or fully human antibody, antibody derivative or antibody fragment that specifically binds to an epitope to which a humanized Fab fragment comprising a variable heavy chain sequence according to SEQ ID NO: 1 and comprising a variable light chain sequence according to SEQ ID NO: 2 specifically binds. CD154 binding proteins of this invention may elicit reduced effector function relative to a second anti-CD154 antibody. CD154 binding proteins of this invention are useful in diagnostic and therapeutic methods, such as in the treatment and prevention of diseases including those that involve undesirable immune responses that are mediated by CD154-CD40 interactions.",US8784823B2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"The present invention concerns improved osteoinductive materials comprising matrix materials and morphogenetic proteins, wherein depending on the subject matter the proteins may be dimeric or monomeric proteins. The osteoinductive materials according to the present invention have improved properties. The invention further concerns methods for producing the respective improved osteoinductive materials.",US8163694B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Phosphoramidate derivatives of 5-fluoro-2′-deoxyuridine are disclosed for use in the treatment of cancer, especially in the treatment of cancer where the patient shows resistance, for example, in a patient with cells with a lowered level of nucleoside transporter proteins and/or with nucleoside kinase-deficient cells and/or with mycoplasma-infected cells and/or with cells with a raised level of thymidylate synthase.",US9221866B2
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,"The invention relates to a series of novel compounds containing acryloyl group. In particular, the invention relates to acryloyl group-containing compounds shown in formula (1) and the preparation method thereof, and application of the compounds shown in formula (1) and pharmaceutically acceptable salts thereof in preparation of medicaments for treating, regulating and/or preventing diseases related to physiological conditions related to CRM1 protein.
",US20210053945A1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"The present invention relates to certain heteroaryl amide compounds, pharmaceutical compositions containing them, and methods of using them, including methods for preventing, reversing, slowing, or inhibiting protein aggregation, and methods of treating diseases that are associated with protein aggregation, including neurodegenerative diseases such as Parkinson's disease, Alzheimer's disease, Lewy body disease, Parkinson's disease with dementia, fronto-temporal dementia, Huntington's Disease, amyotrophic lateral sclerosis, and multiple system atrophy, and cancer and melanoma.",US11078196B2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A replaceable cuvette assembly for use in an optical absorbance measurement system for measuring whole-blood hemoglobin parameters or whole-blood bilirubin parameters. The replaceable cuvette assembly includes a cuvette substrate and a cuvette module fixedly connected to the cuvette substrate wherein the cuvette substrate is a support for securing the cuvette assembly within the optical absorbance measurement system. The cuvette module has a sample inlet port, a sample outlet port, an electronic chip assembly, a sample receiving chamber that fluidly communicates with the sample inlet port and the sample outlet port, a first cuvette window, and a second cuvette window forming a portion of the sample receiving chamber. The first cuvette window and the second cuvette window are aligned with each other defining a cuvette optical path length between the first cuvette window and the second cuvette window and disposed within an optical path of the optical absorbance measurement system.",US10337980B2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"The present invention relates to certain salts of a 9E-15-(2-pyrrolidin-1-yl-ethoxy)-7,12,25-trioxa-19,21,24-triaza-tetracyclo[18.3.1.1(2,5). 1(14,18)]hexacosa-1(24),2,4,9, 14,16,18(26),20,22-nonaene (Compound I) which have been found to have improved properties. In particular the present invention relates to the citrate salt of this compound. The invention also relates to pharmaceutical compositions containing the citrate salt and methods of use of the citrate salt in the treatment of certain medical conditions.",US20120196876A1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A compact optical spectrometer for measuring hemoglobin parameters in whole blood includes an enclosed spectrometer housing having a light entrance port, a light input slit disposed on one side of a circuit board substrate and positioned adjacent to and aligned with the light entrance port, a light-array detector disposed on the one side of the circuit board substrate adjacent the light input slit, a light dispersing element disposed downstream from the light input slit and an achromatic lens disposed between the light input slit and the light dispersing element to direct the light from the input slit to the light dispersing element and to direct the dispersed light from the light dispersing element to the light-array detector.",US10088360B2
0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"The invention relates to antibody molecules having specificity for antigenic determinants of human IL-13, therapeutic uses of the antibody molecules and methods for producing said antibody molecules.",US20100260773A1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Pharmaceutical formulations comprising 9-cis-retinyl esters in a lipid vehicle are described as retinoid replacement therapies for treating retinal degenerations in humans.,US10130606B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The present invention relates to particularly stable and soluble scFv antibodies and Fab fragments specific for TNFα, which comprise specific light chain and heavy chain sequences that are optimized for stability, solubility, in vitro and in vivo binding of TNFα, and low immunogenicity. Said antibodies are designed for the diagnosis and/or treatment of TNFα-related disorders. The nucleic acids, vectors and host cells for expression of the recombinant antibodies of the invention, methods for isolating them and the use of said antibodies in medicine are also disclosed.",US8691228B2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"The present invention provides a fusion protein inhibiting TACI-BAFF complex formation and preparation method therefor and use thereof. Specifically, the fusion protein of the present invention is of high biological activity for blocking BAFF/APPRIL, and may significantly lower the serum IgM concentration in normal Balb/c mice as well as the serum IgM and IgE concentration in C57/B6 mice with asthma. The TACI-Fc fusion protein of the present invention may be used in the treatment of autoimmune diseases, including asthma, systemic lupus eythematosus and rheumatoid arthritis, etc., and may also be used in the treatment of B cell enrichment-related diseases, including multiple myeloma, chronic lymphocytic leukemia, macroglobulinemia and plasmacytic leukemia, etc.",US20170081387A1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A mixing device for operating biological, chemical or biochemical materials used in an assay includes a mixing member formed with a plurality of chambers, each having a sealable port provided along an edge of the mixing member. The mixing device also includes one or more compartments that are movable along the edge of the mixing member between selected ones of the sealed chambers. This compartment is operable to receive materials from and transfer materials between the chambers. Selected ones of the chambers include associated processing elements, for example, including heating and cooling elements, magnetic elements, membranes and lateral flow devices. The mixing device is also pivotable, for example, to facilitate the application of gravity force in the transfer of materials between the chambers and one or more compartments. The mixing device may operate manually by hand-held unit. Also, this mixing device may operate automatically with at least one driving unit.",US10222307B2
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"The present application discloses a PEGylated asparaginase and use thereof. In this application, the polyethylene glycol (PEG) is coupled to the N-terminal amino of 1 or 2 subunits of L-asparaginase, and the molecular weight of the PEG is 30-40 KDa. The PEG is preferably branched and has an aldehyde serving as an activating group. The PEGylated asparaginase is useful in the preparation of anti-tumor drugs.",US11103565B2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"The invention provides compositions of novel high penetration compositions (HPC) or high penetration prodrugs (HPP) for treatment of pulmonary conditions (e.g. asthma). The HPCs/HPPs are capable of being converted to parent active drugs or drug metabolites after crossing the biological barrier and thus can render treatments for the conditions that the parent drugs or metabolites can. Additionally, the HPPs are capable of reaching areas that parent drugs may not be able to access or to render a sufficient concentration at the target areas and therefore render novel treatments. The HPCs/HPPs can be administered to a subject through various administration routes, e.g., locally delivered to an action site of a condition with a high concentration or systematically administered to a biological subject and enter the general circulation with a faster rate.",US20150072961A1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A luminal valve for placing in a body lumen comprises at least four valve leaflets. The valve has a normally closed configuration in which the leaflets are engaged and an open configuration in which the leaflets are open. The valve may be mounted to an esophageal support.,US20100121462A1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A bispecific coupled antibody, a preparation method and an application thereof are provided. Specifically, an anti-CTLA-4 humanized single-chain antibody fragment (scFv) is provided, which has the advantages of high affinity and strong specificity. Using the anti-CTLA-4 antibody to construct a recombinant bispecific conjugated antibody (fusing a humanized anti-Her-2 full antibody (Trastuzumab) with anti-CTLA-4 human single-chain antibody (scFv, single-chain antibody fragment)) is capable of significantly enhancing the body's immune response and maintaining or enhancing the activation state of T cells.",US11021538B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"The present invention relates to isoindoline derivatives according to formula (I), which are Positive Allosteric Modulators of D1 and accordingly of benefit as pharmaceutical agents for the treatment of diseases in which D1 receptors play a role.",US20170313677A1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The present invention relates to use of interleukin-22 (IL-22) for treating fatty liver disease by decreasing the levels of transaminases. The use of IL-22 in decreasing the levels of transaminases is also provided.,US10786551B2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"A fixed-dose combination drug product formulated for oral delivery comprises a fixed 158.3 mg dose of clarithromycin, a fixed 13.3 mg dose of clofazimine and a fixed 40.0 mg dose of rifabutin. The fixed-dose combination drug product is sufficiently designed for use in treating pulmonary Mycobacterium avium Complex (MAC) disease in a subject in need thereof. A method for treating MAC disease in a human having MAC lung infection comprising orally administering, twice daily, about 475 mg of clarithromycin, about 40 mg of clofazimine and about 120 mg of rifabutin. A kit for treating pulmonary MAC disease in an individual having MAC lung infection comprises a supply of fixed-dose combination drug products, wherein each of the fixed-dose combination drug products comprise a fixed 158.3 mg dose of clarithromycin, a fixed 13.3 mg dose of clofazimine and a fixed 40.0 mg dose of rifabutin; and instructions for use.",US11590154B2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The present invention provides a spinal fusion cage that can be inserted between vertebral bodies at the lowest height, and the height thereof may be adjusted with being inserted, such that cages having different heights within a certain range may be replaced by one cage. Therefore, the number of product groups that should be produced is reduced and the amount in stock is also decreased on the manufacturer. In addition, unlike the cage having a predetermined height at a constant interval in the prior art, the height of the spinal fusion cage is linearly adjusted according to a spacing between vertebral bodies of a patient, such that the surgery may be performed at the optimal height according to spinal conditions of the patient.",US11464649B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"A series of substituted 4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine derivatives, being potent treatment and/or prevention of various human ailments, including autoimmune and inflammatory disorders; neurological and neurodegenerative disorders; pain and nociceptive disorders; cardiovascular disorders; metabolic disorders; ocular disorders; and oncological disorders.",US9932334B2
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A method of detecting thrombosis or the degree of thrombophilia by measuring a von Willebrand factor cleaving protease, and a kit for detecting thrombosis or the degree of thrombophilia, comprising an antibody or a fragment thereof specifically binding to a von Willebrand factor-cleaving protease, are disclosed. The detection method and the detection kit have an excellent convenience, rapidity, and specificity.",US20070275414A1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"This application provides isolated antibodies, and antigen-binding fragments thereof, that specifically bind Programmed Death Ligand-1 (PD-L1). These PD-L1 antibodies, or antigen-binding fragments thereof, have a high affinity for PD-L1, function to inhibit PD-L1, are less immunogenic compared to their unmodified parent antibodies in a given species (e.g., a human), are capable of increasing T-cell proliferation and IL-2 secretion in a mixed lymphocyte reaction, and can be used to treat human diseases (e.g., cancer, infectious diseases, autoimmune diseases, asthma, transplant rejection, and inflammatory disorders).",US11332531B2
